Fuel Loadings = tons / acre

Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,>3_Snd,>3_Rot,3_<6_DC1,6_<9_DC1,9_<12_DC1,12_<20_DC1,>20_DC1,3_<6_DC2,6_<9_DC2,9_<12_DC2,12_<20_DC2,>20_DC2,3_<6_DC3,6_<9_DC3,9_<12_DC3,12_<20_DC3,>20_DC3,3_<6_DC4,6_<9_DC4,9_<12_DC4,12_<20_DC4,>20_DC4,3_<6_DC5,6_<9_DC5,9_<12_DC5,12_<20_DC5,>20_DC5,3_<6_Snd,6_<12_Snd,12_<20_Snd,20_<35_Snd,35_<50_Snd,50>_Snd,3_<6_Rot,6_<12_Rot,12_<20_Rot,20_<35_Rot,35_<50_Rot,50>_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
"B:FABCO 02",12,"01Yr05",0.0238335984,4.865631744,3.9328068,8.8222721424,18.1313952,0.2521224,0,0,0,0,0,0,0,0,0,0,1.7986128,1.5653472,7.95012,6.8173152,0,0.2521224,0,0,0,0,0,0,0,0,0,1.7986128,9.5154672,6.8173152,0,0,0,0.2521224,0,0,0,0,0,27.2057897424,4.66681875,4.005478125,35.8780866174,0.4675,0.8025,1.27,0
"B:FABCO 02",15,"01Yr11",0.0079445328,2.204739384,5.1429012,7.3555851168,47.0414304,0,0,0,0,0,0,0,0,0,0,0,1.692456,4.5323832,9.7552512,31.06134,0,0,0,0,0,0,0,0,0,0,0,1.692456,14.2876344,31.06134,0,0,0,0,0,0,0,0,0,54.3970155168,9.65806875,2.3458875,66.4009717668,0.9675,0.47,1.4375,0
"B:FABCO 02",20,"01Yr19",0.0357503976,2.964994344,2.7227124,5.7234571416,46.5362544,3.932865,0,0,0,0,0,0,0,0,0,0,1.3877208,4.8424728,10.1633496,30.1427112,0,0,0.982125,0,2.95074,0,0,0,0,0,0,1.3877208,15.0058224,30.1427112,0,0,0,0,0.982125,2.95074,0,0,0,56.1925765416,9.6331125,2.907403125,68.7330921666,0.965,0.5825,1.5475,0
"B:FABCO 02",22,"01Yr25",0.0913629216334197,1.44450723107864,0.6050472,2.14091735271206,0,38.6294277549516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873,2.95954420314497,5.55962031913714,29.2372632326695,0,0,0,0,0,0,0,0,0,0,0,0,0.873,8.5191645222821,29.2372632326695,0,0,0,40.7703451076637,10.00745625,2.86996875,53.6477701076637,1.0025,0.575,1.5775,0
"B:FABCO 08",1,"00Pre",0.203253729051719,2.51663563434882,3.94521910473221,6.66510846813275,6.81054738121871,2.58861548288482,0,0,0,0,0,0,0,0,0,0,2.49092177684055,0,0,4.31962560437817,0,2.58861548288482,0,0,0,0,0,0,0,0,0,2.49092177684055,0,4.31962560437817,0,0,0,2.58861548288482,0,0,0,0,0,16.0642713322363,25.63006875,6.887925,48.5822650822363,2.5675,1.38,3.9475,0
"B:FABCO 08",8,"01Post",0.0996197476394237,1.44803769572261,1.51711813709204,3.06477558045407,4.96080182273843,2.4308403494361,0,0,0,0,0,0,0,0,0,0,1.70893834331792,0,3.2518634794205,0,0,2.4308403494361,0,0,0,0,0,0,0,0,0,1.70893834331792,3.2518634794205,0,0,0,0,2.4308403494361,0,0,0,0,0,10.4564177526286,6.21410625,2.208628125,18.8791521276286,0.6225,0.4425,1.065,0
"B:FABCO 08",9,"01Yr01",0.25906768402187,1.29605437644622,1.21472918005423,2.76985124052231,2.92838652602349,0,0,0,0,0,0,0,0,0,0,0,0.254543881963928,0,2.67384264405956,0,0,0,0,0,0,0,0,0,0,0,0,0.254543881963928,2.67384264405956,0,0,0,0,0,0,0,0,0,0,5.6982377665458,3.21935625,3.79335,12.7109440165458,0.3225,0.76,1.0825,0
"B:FABCO 08",10,"01Yr02",0.382636365793844,1.60110875957583,3.33857136224811,5.32231648761779,4.06806731688729,0,0,0,0,0,0,0,0,0,0,0,1.34401276187718,0,2.72405455501011,0,0,0,0,0,0,0,0,0,0,0,0,1.34401276187718,2.72405455501011,0,0,0,0,0,0,0,0,0,0,9.39038380450508,2.07136875,2.27101875,13.7327713045051,0.2075,0.455,0.6625,0
"B:FABCO 08",12,"01Yr05",0.502308204066368,1.75462711268265,3.63969288449383,5.89662820124285,4.91060063641214,0,0,0,0,0,0,0,0,0,0,0,2.57516291778207,0,2.33543771863006,0,0,0,0,0,0,0,0,0,0,0,0,2.57516291778207,2.33543771863006,0,0,0,0,0,0,0,0,0,0,10.807228837655,6.6383625,2.91988125,20.365472587655,0.665,0.585,1.25,0
"B:FABCO 08",14,"01Yr10",0.821169611708103,5.26308949858982,5.15748971782,11.2417488281179,4.36459558157921,3.82073679601306,0,0,0,0,0,0,0,0,0,0,2.94569323259381,1.4189023489854,0,0,0,1.70132706635628,0,2.11940972965678,0,0,0,0,0,0,0,2.94569323259381,1.4189023489854,0,0,0,0,1.70132706635628,2.11940972965678,0,0,0,0,19.4270812057102,14.3748,9.670546875,43.4724280807102,1.44,1.9375,3.3775,0
