Fuel Loadings = tons / acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,ThSound,ThRotten,ThousandHourDc1Sz1,ThousandHourDc1Sz2,ThousandHourDc1Sz3,ThousandHourDc1Sz4,ThousandHourDc1Sz5,ThousandHourDc2Sz1,ThousandHourDc2Sz2,ThousandHourDc2Sz3,ThousandHourDc2Sz4,ThousandHourDc2Sz5,ThousandHourDc3Sz1,ThousandHourDc3Sz2,ThousandHourDc3Sz3,ThousandHourDc3Sz4,ThousandHourDc3Sz5,ThousandHourDc4Sz1,ThousandHourDc4Sz2,ThousandHourDc4Sz3,ThousandHourDc4Sz4,ThousandHourDc4Sz5,ThousandHourDc5Sz1,ThousandHourDc5Sz2,ThousandHourDc5Sz3,ThousandHourDc5Sz4,ThousandHourDc5Sz5,Th_3_6_Snd,Th_6_12_Snd,Th_12_20_Snd,Th_20_35_Snd,Th_35_50_Snd,Th_GT_50_Snd,Th_3_6_Rot,Th_6_12_Rot,Th_12_20_Rot,Th_20_35_Rot,Th_35_50_Rot,Th_GT_50_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
101,46,04yr04,1.053426887,0.470090984,2.26169856,3.785216431,19.40591002,0,0,0,0,0,0,0,0,0,0,0,2.78466048,2.63939328,7.215533568,6.766322688,0,0,0,0,0,0,0,0,0,0,0,2.78466048,9.854926848,6.766322688,0,0,0,0,0,0,0,0,0,23.19112645,0,0,23.19112645,0.6,0,0.6,0
102,6,Control_15yr,0.164263176,1.880363934,0.56542464,2.61005175,1.3632768,9.6183648,0,0,0,0,0,0,0,0,0,0,0.55872,0.8045568,0,0,0,0.76824,0,0,0,8.8501248,0,0,0,0,0,0.55872,0.8045568,0,0,0,0,0.76824,0,0,8.8501248,0,0,13.59169335,0,0,13.59169335,0.185,0,0.185,0
102,8,Control_17yr,0.167834114,1.275961241,2.8271232,4.270918555,0.8045568,4.6401696,0,0,0,0,0,0,0,0,0,0,0,0.8045568,0,0,0,0.6299568,0.5531328,0,3.45708,0,0,0,0,0,0,0,0.8045568,0,0,0,0,0.6299568,0.5531328,3.45708,0,0,0,9.715644955,0,0,9.715644955,0.075,0,0.075,0
102,10,Control_19yr,0.239252886,2.014675644,3.39254784,5.64647637,1.899648,1.949178528,0,0,0,0,0,0,0,0,0,0,0,1.899648,0,0,0,0.704629728,0,1.2445488,0,0,0,0,0,0,0,0,1.899648,0,0,0,0,0.704629728,1.2445488,0,0,0,0,9.495302898,0,0,9.495302898,0,0,0,0
102,12,Control_21yr,0.164263176,1.141649532,0,1.305912707,7.713464832,0,0,0,0,0,0,0,0,0,0,0,1.427864832,1.25712,0,5.02848,0,0,0,0,0,0,0,0,0,0,0,1.427864832,1.25712,5.02848,0,0,0,0,0,0,0,0,0,9.019377539,0,0,9.019377539,0.15,0,0.15,0
102,14,Control_23yr,0.328526351,1.611740515,1.13084928,3.071116146,5.697156096,1.06093944,0,0,0,0,0,0,0,0,0,0,0.258352128,0,0,5.438803968,0,0.431597232,0.629342208,0,0,0,0,0,0,0,0,0.258352128,0,5.438803968,0,0,0,0.431597232,0.629342208,0,0,0,0,9.829211682,0,0,9.829211682,0.14,0,0.14,0
103,24,02Pre,0.103557219,0.940181967,4.80610944,5.849848627,5.7212928,18.0997344,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7212928,0,1.997424,7.6516704,2.7810288,5.6696112,0,0,0,0,0,0,0,0,5.7212928,0,0,0,1.997424,10.4326992,5.6696112,0,0,0,29.67087583,0,0,29.67087583,0.32,0,0.32,0
103,25,02Post,0.022318366,0.167889637,1.0601712,1.250379203,0,6.7221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63251,2.323926,2.765664,0,0,0,0,0,0,0,0,0,0,0,0,0,3.956436,2.765664,0,0,0,7.972479203,0,0,7.972479203,0.0125,0,0.0125,0
103,26,02yr01,0.151764891,0.671558548,0.7067808,1.530104239,0,62.22744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.22744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.49784,30.7296,0,63.75754424,0,0,63.75754424,0.675,0,0.675,0
103,27,02yr02,0.138373871,1.846786007,1.766952,3.752111878,0,7.163838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787446,0.691416,1.9206,3.764376,0,0,0,0,0,0,0,0,0,0,0,0,0.787446,2.612016,3.764376,0,0,0,10.91594988,0,0,10.91594988,0.2,0,0.2,0
103,31,03Post,0.183010603,0.839448185,1.4135616,2.436020388,1.368864,0.691416,0,0,0,0,0,0,0,0,0,0,0,1.368864,0,0,0,0,0.691416,0,0,0,0,0,0,0,0,0,1.368864,0,0,0,0,0,0.691416,0,0,0,0,4.496300388,0,0,4.496300388,0.075,0,0.075,0
103,32,03yr01,0.169619584,2.098620463,1.4135616,3.681801646,0,1.267596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.267596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.267596,0,0,0,0,0,4.949397646,0,0,4.949397646,0,0,0,0
103,33,03yr02,0.799890246,2.081831499,2.8271232,5.708844945,17.0577216,1.8514584,0,0,0,0,0,0,0,0,0,0,2.2460544,4.1233536,2.23488,8.4534336,0,0.8681112,0.9833472,0,0,0,0,0,0,0,0,2.2460544,6.3582336,8.4534336,0,0,0,0.8681112,0.9833472,0,0,0,0,24.61802495,0,0,24.61802495,0.1,0,0.1,0
103,34,03yr03,0.207114439,2.148987354,3.67526016,6.031361952,33.3052992,0,0,0,0,0,0,0,0,0,0,0,0.2737728,5.5648512,0,3.7769472,23.689728,0,0,0,0,0,0,0,0,0,0,0.2737728,5.5648512,3.7769472,23.689728,0,0,0,0,0,0,0,0,39.33666115,0,0,39.33666115,0.07,0,0.07,0
103,37,03yr06,0.399945123,1.880363934,3.39254784,5.672856898,10.37207808,5.615680752,0,0,0,0,0,0,0,0,0,0,1.07497728,0,0,9.2971008,0,1.980830016,0,1.272359088,2.362491648,0,0,0,0,0,0,1.07497728,0,9.2971008,0,0,0,1.980830016,1.272359088,2.362491648,0,0,0,21.66061573,0,0,21.66061573,0.1,0,0.1,0
