Fuel Loadings = tons / acre

Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,>3_Snd,>3_Rot,3_<6_DC1,6_<9_DC1,9_<12_DC1,12_<20_DC1,>20_DC1,3_<6_DC2,6_<9_DC2,9_<12_DC2,12_<20_DC2,>20_DC2,3_<6_DC3,6_<9_DC3,9_<12_DC3,12_<20_DC3,>20_DC3,3_<6_DC4,6_<9_DC4,9_<12_DC4,12_<20_DC4,>20_DC4,3_<6_DC5,6_<9_DC5,9_<12_DC5,12_<20_DC5,>20_DC5,3_<6_Snd,6_<12_Snd,12_<20_Snd,20_<35_Snd,35_<50_Snd,50>_Snd,3_<6_Rot,6_<12_Rot,12_<20_Rot,20_<35_Rot,35_<50_Rot,50>_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
"NORRIS NORTH-001",1,"01POST",0.189029840011479,3.61785587836539,3.32222591971269,7.12911163808956,7.10338420845822,0,0,0,0,0,0,0,0,0,0,0,0,7.10338420845822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10338420845822,0,0,0,0,0,0,0,0,0,0,14.2324958465478,10.8078031875,1.965055125,27.0053541590478,1.082675,0.3937,1.476375,0
"NORRIS NORTH-001",16,"02YR06",0.0635689723816089,1.21665119326391,1.21033639468295,2.49055656032847,10.3318673537653,5.96413166860506,0,0,0,0,0,0,0,0,0,0,4.51908594613442,5.81278140763086,0,0,0,2.82838710777488,3.13574456083019,0,0,0,0,0,0,0,0,4.51908594613442,5.81278140763086,0,0,0,0,2.82838710777488,3.13574456083019,0,0,0,0,18.7865555826988,2.894925,4.5420375,26.2235180826988,0.29,0.91,1.2,0
"NORRIS NORTH-001",19,"02YR11",0.127137944763218,2.12913958821183,2.4206727893659,4.67695032234095,11.1710463392284,9.75510643617588,0,0,0,0,0,0,0,0,0,0,6.20768916549586,4.96335717373255,0,0,0,2.19062039268511,7.56448604349077,0,0,0,0,0,0,0,0,6.20768916549586,4.96335717373255,0,0,0,0,2.19062039268511,7.56448604349077,0,0,0,0,25.6031030977452,4.99125,3.7434375,34.3377905977452,0.5,0.75,1.25,0
"NORRIS NORTH-001",21,"02YR15",0.167210868429537,1.22029097630799,1.21323310783222,2.60073495256975,4.91926618236953,20.3296194020062,0,0,0,0,0,0,0,0,0,0,1.77295724959556,3.14630893277397,0,0,0,6.04344260041388,14.2861768015923,0,0,0,0,0,0,0,0,1.77295724959556,3.14630893277397,0,0,0,0,6.04344260041388,14.2861768015923,0,0,0,0,27.8496205369455,3.1444875,3.06961875,34.0637267869455,0.315,0.615,0.93,0
"NORRIS NORTH-002",1,"01POST",0.0726493234885683,0.139044069458253,2.2131581989895,2.42485159193632,4.55170634627871,1.12201460607635,0,0,0,0,0,0,0,0,0,0,4.55170634627871,0,0,0,0,1.12201460607635,0,0,0,0,0,0,0,0,0,4.55170634627871,0,0,0,0,0,1.12201460607635,0,0,0,0,0,8.09857254429138,17.931128015625,3.0703986328125,29.1000991927289,1.79625625,0.61515625,2.4114125,0
"NORRIS NORTH-002",16,"02YR06",0.0795088588602127,0.304345168352337,0,0.38385402721255,25.2864545209418,0,0,0,0,0,0,0,0,0,0,0,10.6577191575385,14.6287353634034,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6577191575385,14.6287353634034,0,0,0,0,0,0,0,0,0,0,25.6703085481544,1.697025,3.094575,30.4619085481544,0.17,0.62,0.79,0
"NORRIS NORTH-002",19,"02YR11",0.143115945948383,0.913035505057012,1.21106208859927,2.26721353960466,13.0267224889885,20.081776568418,0,0,0,0,0,0,0,0,0,0,0,4.96633310515236,8.06038938383614,0,0,7.32927879629776,12.7524977721202,0,0,0,0,0,0,0,0,0,13.0267224889885,0,0,0,0,7.32927879629776,12.7524977721202,0,0,0,0,35.3757125970111,4.3923,4.6418625,44.4098750970111,0.44,0.93,1.37,0
"NORRIS NORTH-002",21,"02YR15",0.119496183643711,0.763410007243388,2.42972577577187,3.31263196665897,3.44633136101584,26.9339947291571,0,0,0,0,0,0,0,0,0,0,0,3.44633136101584,0,0,0,7.45426955267912,13.4816948132579,5.99803036322009,0,0,0,0,0,0,0,0,3.44633136101584,0,0,0,0,7.45426955267912,19.479725176478,0,0,0,0,33.6929580568319,6.089325,3.41900625,43.201289306832,0.61,0.685,1.295,0
"NORRIS NORTH-003",1,"01POST",0.0587667273705577,0,1.11890292179042,1.17766964916098,0,2.13645166833287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13645166833287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13645166833287,0,0,0,0,0,3.31412131749385,17.439864234375,2.45631890625,23.2103044581188,1.74704375,0.492125,2.23916875,0
"NORRIS NORTH-003",16,"02YR06",0.509085265093119,3.3493006161652,1.21160607379364,5.06999195505196,25.2325472682395,7.821362409801,0,0,0,0,0,0,0,0,0,0,4.05950969241824,13.6208950612168,7.55214251460445,0,0,7.821362409801,0,0,0,0,0,0,0,0,0,4.05950969241824,21.1730375758213,0,0,0,0,7.821362409801,0,0,0,0,0,38.1239016330925,4.3923,2.9448375,45.4610391330925,0.44,0.59,1.03,0
