Fuel Loadings = tons / acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,ThSound,ThRotten,ThousandHourDc1Sz1,ThousandHourDc1Sz2,ThousandHourDc1Sz3,ThousandHourDc1Sz4,ThousandHourDc1Sz5,ThousandHourDc2Sz1,ThousandHourDc2Sz2,ThousandHourDc2Sz3,ThousandHourDc2Sz4,ThousandHourDc2Sz5,ThousandHourDc3Sz1,ThousandHourDc3Sz2,ThousandHourDc3Sz3,ThousandHourDc3Sz4,ThousandHourDc3Sz5,ThousandHourDc4Sz1,ThousandHourDc4Sz2,ThousandHourDc4Sz3,ThousandHourDc4Sz4,ThousandHourDc4Sz5,ThousandHourDc5Sz1,ThousandHourDc5Sz2,ThousandHourDc5Sz3,ThousandHourDc5Sz4,ThousandHourDc5Sz5,Th_3_6_Snd,Th_6_12_Snd,Th_12_20_Snd,Th_20_35_Snd,Th_35_50_Snd,Th_GT_50_Snd,Th_3_6_Rot,Th_6_12_Rot,Th_12_20_Rot,Th_20_35_Rot,Th_35_50_Rot,Th_GT_50_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
PIAB 02,14,02Year1,0.182908129,0.86684261,0,1.04975074,20.56345148,2.796964233,0,0,0,0,0,0,0,0,0,0,3.114392598,2.13010044,4.80359385,0,10.51536459,0.279583398,0,0,2.517380834,0,0,0,0,0,0,3.114392598,6.93369429,0,10.51536459,0,0,0.279583398,0,2.517380834,0,0,0,24.41016645,3.4842555,2.10585375,30.0002757,0.1975,0.4875,0.685,0
PIAB 02,15,02Year2,0.176160213,0.63564536,0,0.811805573,25.52894695,1.581098884,0,0,0,0,0,0,0,0,0,0,4.590885575,2.352891558,1.96164862,7.042372884,9.581148318,1.581098884,0,0,0,0,0,0,0,0,0,4.590885575,4.314540177,7.042372884,9.581148318,0,0,1.581098884,0,0,0,0,0,27.92185141,3.4842555,1.56589125,32.97199816,0.1975,0.3625,0.56,0
PIAB 02,16,02Year5,0.155843406,1.040084845,0.593885448,1.789813698,20.59531605,0,0,0,0,0,0,0,0,0,0,0,4.014124471,3.521186447,1.760593224,11.29941191,0,0,0,0,0,0,0,0,0,0,0,4.014124471,5.281779671,11.29941191,0,0,0,0,0,0,0,0,0,22.38512975,4.322241,1.43630025,28.143671,0.245,0.3325,0.5775,0
PIAB 02,17,02Year10,0.121944505,0.751200708,0.594241396,1.46738661,13.19915321,5.947428685,0,0,0,0,0,0,0,0,0,0,2.683788597,0,0,0,10.51536461,1.113707839,0.738606531,1.577733477,2.517380838,0,0,0,0,0,0,2.683788597,0,0,10.51536461,0,0,1.113707839,2.316340007,2.517380838,0,0,0,20.6139685,3.704778,2.21384625,26.53259275,0.21,0.5125,0.7225,0
PIAB 02,18,02Year20,0.779388459,0.924174656,2.080045033,3.783608149,12.3145602,21.37693573,0,0,0,0,0,0,0,0,0,0,2.754319932,2.130100444,0,7.430139829,0,1.201539518,0.856608757,0,10.07090924,9.247878218,0,0,0,0,0,2.754319932,2.130100444,7.430139829,0,0,0,1.201539518,0.856608757,10.07090924,9.247878218,0,0,37.47510409,7.233138,3.76893825,48.47718034,0.41,0.8725,1.2825,0
PIAB 03,0,PR01,0.440065606,0.69276102,1.187325859,2.320152485,9.507539611,2.457617868,0,0,0,0,0,0,0,0,0,0,2.864375888,1.389419864,5.25374386,0,0,0.353582677,2.104035191,0,0,0,0,0,0,0,0,2.864375888,6.643163723,0,0,0,0,0.353582677,2.104035191,0,0,0,0,14.28530996,10.496871,4.708473,29.49065396,0.595,1.09,1.685,0
PIAB 03,5,Pre,0.264039363,1.1546017,1.780988789,3.199629853,11.5712623,1.693704676,0,0,0,0,0,0,0,0,0,0,3.012218845,2.306654071,0,6.252389387,0,0.436521824,1.257182853,0,0,0,0,0,0,0,0,3.012218845,2.306654071,6.252389387,0,0,0,0.436521824,1.257182853,0,0,0,0,16.46459683,16.5391875,3.8229345,36.82671883,0.9375,0.885,1.8225,0
PIAB 03,6,01Post,0.088013121,0.46184068,0,0.549853801,6.724575043,0.436521824,0,0,0,0,0,0,0,0,0,0,2.632299351,1.221169802,2.87110589,0,0,0.436521824,0,0,0,0,0,0,0,0,0,2.632299351,4.092275692,0,0,0,0,0.436521824,0,0,0,0,0,7.710950668,0.441045,0.50756475,8.659560418,0.025,0.1175,0.1425,0
PIAB 03,7,01Year1,0.311431044,0.69276102,0,1.004192064,6.260204873,0.381694683,0,0,0,0,0,0,0,0,0,0,1.630614468,2.002718475,2.62687193,0,0,0.381694683,0,0,0,0,0,0,0,0,0,1.630614468,4.629590405,0,0,0,0,0.381694683,0,0,0,0,0,7.64609162,0.970299,0.39957225,9.01596287,0.055,0.0925,0.1475,0
PIAB 03,8,01Year2,0.196336963,1.03914153,0,1.235478493,7.94335678,0.213895694,0,0,0,0,0,0,0,0,0,0,1.875499719,2.350073441,3.71778362,0,0,0.213895694,0,0,0,0,0,0,0,0,0,1.875499719,6.067857061,0,0,0,0,0.213895694,0,0,0,0,0,9.392730966,0.7497765,0.8855385,11.02804597,0.0425,0.205,0.2475,0
